net,length_um
_0516_,435.49
net4,374.61
_0494_,366.69
clknet_1_0__leaf_clk,365.84
_0716_,355.57
_0713_,352.715
_0712_,350.43
_0493_,348.155
_0495_,346.55
clknet_1_1__leaf_clk,339.45
net5,329.05
_0689_,321.54
_0711_,314.5
net7,299.72
_0710_,298.54
_0714_,277.79
_0531_,276.59
_0503_,274.36
_0670_,269.7
net9,267.07
_0679_,257.04
_0709_,255.31
_0502_,249.37
net11,228.83
_0706_,225.1
net10,224.48
_0787_,222.23
_0746_,221.28
_0730_,220.85
_0834_,217.71
_0738_,213.96
_0353_,212.76
_0532_,208.79
address\[0\],205.24
_0371_,202.68
net6,199.22
_0734_,198.31
_0362_,195.855
_0736_,195.46
_0875_,195.035
_0389_,194.88
net8,181.055
_0740_,179.07
_0864_,178.7
_0548_,176.84
_0879_,174.24
_0728_,168.87
_0407_,167.42
_0756_,166.46
_0867_,165.06
_0757_,163.945
_0837_,163.36
_0315_,162.52
_0661_,157.88
_0801_,156.38
_0342_,155.6
clk,155.27
_0380_,154.32
_0442_,152.88
_0719_,152.14
_0324_,151.7
_0869_,151.58
_0333_,149.86
_0451_,147.28
clknet_leaf_2_clk,145.31
_0732_,144.64
_0671_,143.92
address\[1\],143.82
_0416_,142.66
_0871_,142.58
_0792_,141.76
_0811_,141.33
_0873_,140.24
clknet_leaf_25_clk,137.24
_0514_,134.61
clknet_leaf_16_clk,133.195
_0314_,132.13
_0600_,129.78
clknet_leaf_20_clk,129.215
clknet_leaf_7_clk,129.12
_0617_,128.6
_0569_,127.795
_0352_,126.41
_0634_,125.06
clknet_leaf_4_clk,123.56
_0855_,123.45
_0718_,122.08
clknet_leaf_24_clk,121.96
_0742_,121.54
_0631_,119.58
clknet_leaf_21_clk,119.08
_0398_,117.72
_0311_,115.62
_0791_,115.24
_0614_,114.28
_0846_,113.85
net2,113.01
_0822_,110.62
clknet_leaf_8_clk,109.72
_0886_,109.56
clknet_leaf_19_clk,108.56
_0708_,106.58
clknet_leaf_26_clk,105.44
_0573_,105.21
_0497_,104
_0865_,102.77
_0553_,100.645
