net,length_um
clknet_leaf_11_clk,99.04
_0745_,98.28
clknet_leaf_5_clk,98.02
_0649_,97.38
_0510_,97.235
_0831_,96.995
clknet_leaf_0_clk,96.14
_0754_,94.4
_0437_,94.11
clknet_leaf_23_clk,92.55
clknet_leaf_14_clk,91.46
clknet_leaf_3_clk,91.24
clknet_leaf_13_clk,90.84
net3,88.76
_0820_,87.56
_0646_,87.1
_0523_,86.86
_0490_,82.16
_0810_,81.68
_0653_,81.58
_0727_,81.5
clknet_leaf_10_clk,79.59
_0609_,79.56
_0789_,79.22
net1,78.68
clknet_leaf_18_clk,77.97
_0836_,77.9
clknet_leaf_1_clk,77.68
_0467_,75.7
net23,75.58
net13,74.88
clknet_leaf_12_clk,74.52
clknet_leaf_17_clk,74.48
_0507_,72.59
_0556_,71.88
count\[1\],71.01
net22,70.68
data_reg\[3\]\[1\],70.44
clknet_leaf_15_clk,70.36
count\[0\],70
_0557_,67.06
_0526_,66.8
_0832_,65.58
_0575_,63.44
clknet_leaf_22_clk,62.68
clknet_leaf_6_clk,62.4
_0612_,62.34
_0520_,60.75
_0496_,60.3
_0512_,58.36
_0610_,57.49
net25,56.92
_0515_,55.36
_0637_,55.02
data_reg\[4\]\[2\],54.9
_0613_,54.78
_0629_,54.76
_0550_,54.41
_0461_,54.14
_0643_,52.68
_0572_,52.325
_0724_,52.16
_0542_,50.96
count\[4\],50.84
address\[2\],50.67
_0596_,50.32
_0511_,50.24
clknet_leaf_9_clk,50.08
data_reg\[19\]\[2\],49.23
clknet_0_clk,48.94
net21,48.6
_0552_,46.24
_0566_,45.52
_0597_,45.14
data_reg\[19\]\[3\],43.68
_0492_,43.56
_0723_,43.56
_0508_,43.46
_0477_,43.04
_0460_,42.48
data_reg\[4\]\[7\],42.34
_0576_,41.32
data_reg\[18\]\[4\],41.185
net19,40.66
_0504_,39.4
_0470_,39.3
_0513_,38.56
_0549_,38.145
net15,37.9
_0590_,37.88
address\[3\],37.44
address\[4\],36.96
_0560_,36.7
net20,36.32
_0586_,35.58
_0622_,35.38
_0527_,35.26
_0628_,35.1
_0543_,34.72
_0626_,34.5
_0627_,33.6
_0524_,33.56
_0654_,33.09
_0587_,33.01
_0790_,32.9
_0644_,32.4
data_reg\[9\]\[3\],32.01
_0607_,31.88
_0518_,31.12
_0721_,31.12
_0554_,30.715
data_reg\[9\]\[7\],30.46
_0647_,30.3
_0505_,30.06
net55,29.84
_0509_,29.76
_0506_,28.98
_0555_,28.865
_0540_,28.5
data_reg\[4\]\[4\],28.34
_0619_,28.02
_0640_,27.94
_0571_,27.9
_0579_,27.56
_0642_,26.5
data_reg\[14\]\[6\],26.23
_0639_,26.22
_0570_,26.18
count\[7\],25.82
data_reg\[4\]\[1\],25.82
_0535_,25.28
data_reg\[19\]\[5\],25.28
data_reg\[5\]\[5\],25.06
data_reg\[3\]\[0\],24.84
data_reg\[16\]\[2\],24.38
net12,24.375
_0608_,24.34
data_reg\[12\]\[0\],24.1
_0624_,23.92
count\[5\],23.88
count\[11\],23.66
_0539_,23.64
_0726_,23.56
data_reg\[9\]\[5\],23.4
data_reg\[16\]\[6\],23.24
data_reg\[19\]\[0\],23.04
pulse_duration\[6\],22.6
data_reg\[5\]\[4\],22.58
_0722_,22.5
data_reg\[3\]\[2\],22.22
_0593_,21.8
data_reg\[12\]\[4\],21.44
data_reg\[30\]\[0\],21.38
data_reg\[15\]\[0\],21.16
data_reg\[20\]\[4\],21.08
count\[6\],21.04
_0522_,21
_0053_,20.8
pulse_duration\[11\],20.76
data_reg\[14\]\[7\],20.745
data_reg\[12\]\[2\],20.58
data_out[7],20.52
data_reg\[27\]\[3\],20.46
data_reg\[20\]\[0\],20.36
_0484_,20.175
data_reg\[28\]\[7\],20.08
data_reg\[11\]\[7\],20
data_reg\[1\]\[5\],19.9
_0606_,19.7
data_reg\[5\]\[6\],19.68
data_reg\[25\]\[3\],19.58
data_reg\[9\]\[0\],19.5
_0525_,19.48
data_reg\[24\]\[0\],19.46
_0501_,19.42
data_reg\[30\]\[7\],19.365
address\[5\],19.04
data_reg\[3\]\[4\],19.02
data_reg\[1\]\[2\],18.96
_0641_,18.92
data_reg\[19\]\[1\],18.86
data_reg\[16\]\[1\],18.82
_0583_,18.7
_0546_,18.68
_0521_,18.62
data_reg\[9\]\[6\],18.6
_0534_,18.58
_0577_,18.5
data_reg\[12\]\[6\],18.34
data_reg\[17\]\[4\],18.26
data_reg\[23\]\[6\],18.12
data_reg\[5\]\[3\],18.12
_0623_,18.06
EN,18.02
data_reg\[29\]\[7\],17.96
net160,17.94
_0562_,17.8
data_reg\[12\]\[3\],17.64
net102,17.55
_0561_,17.5
_0578_,17.46
data_reg\[19\]\[7\],17.42
data_reg\[7\]\[7\],17.42
net53,17.4
_0625_,17.28
net299,17.12
data_reg\[18\]\[2\],17.045
data_reg\[22\]\[2\],17.04
data_reg\[25\]\[7\],17.02
data_reg\[7\]\[1\],16.96
data_reg\[6\]\[6\],16.945
data_reg\[29\]\[3\],16.94
data_reg\[17\]\[6\],16.92
data_reg\[9\]\[2\],16.92
data_reg\[15\]\[3\],16.88
net231,16.84
data_reg\[2\]\[0\],16.745
data_reg\[22\]\[6\],16.71
data_reg\[14\]\[5\],16.67
data_reg\[11\]\[2\],16.56
data_reg\[11\]\[6\],16.56
data_reg\[25\]\[4\],16.5
data_reg\[23\]\[4\],16.48
data_reg\[25\]\[1\],16.48
data_reg\[27\]\[4\],16.48
data_reg\[16\]\[7\],16.38
data_reg\[22\]\[1\],16.125
data_reg\[24\]\[7\],16.1
data_reg\[7\]\[3\],16.1
data_out[2],16.08
data_reg\[19\]\[4\],16.04
net57,16.02
data_reg\[13\]\[0\],15.98
data_reg\[9\]\[1\],15.96
data_reg\[21\]\[7\],15.8
_0481_,15.68
data_reg\[29\]\[6\],15.68
data_reg\[24\]\[4\],15.66
data_reg\[31\]\[4\],15.66
data_reg\[9\]\[4\],15.6
data_reg\[23\]\[0\],15.56
data_reg\[18\]\[6\],15.49
data_reg\[21\]\[0\],15.46
data_reg\[23\]\[3\],15.38
data_reg\[24\]\[1\],15.32
data_reg\[12\]\[7\],15.26
data_reg\[1\]\[7\],15.26
data_reg\[14\]\[4\],15.19
data_in[3],15.14
data_reg\[4\]\[5\],15.08
net316,15.04
data_reg\[24\]\[5\],14.98
data_reg\[29\]\[4\],14.92
net179,14.84
data_reg\[5\]\[1\],14.78
_0498_,14.76
net14,14.76
_0482_,14.74
net51,14.68
data_reg\[5\]\[0\],14.54
data_reg\[16\]\[5\],14.52
data_reg\[23\]\[1\],14.26
net143,14.22
_0474_,14.16
count\[9\],14.16
data_reg\[13\]\[4\],14.14
data_reg\[17\]\[1\],14
_0182_,13.925
data_reg\[16\]\[0\],13.8
data_reg\[21\]\[2\],13.78
data_reg\[30\]\[2\],13.765
data_reg\[25\]\[2\],13.76
data_reg\[13\]\[1\],13.72
data_reg\[11\]\[4\],13.68
data_reg\[4\]\[6\],13.64
data_reg\[4\]\[0\],13.52
data_out[3],13.32
data_out[4],13.32
data_reg\[27\]\[1\],13.32
_0648_,13.28
data_out[6],13.28
count\[10\],13.26
net88,13.26
RS,13.18
data_reg\[17\]\[5\],13.16
net145,13.12
data_reg\[14\]\[2\],13.115
data_reg\[1\]\[3\],13.06
data_reg\[31\]\[1\],13
_0529_,12.96
data_reg\[0\]\[7\],12.92
data_reg\[27\]\[2\],12.92
data_reg\[8\]\[4\],12.92
data_reg\[6\]\[7\],12.91
data_reg\[31\]\[0\],12.84
data_reg\[6\]\[0\],12.765
data_reg\[28\]\[5\],12.68
data_reg\[8\]\[3\],12.66
data_reg\[1\]\[1\],12.62
count\[2\],12.58
data_reg\[13\]\[6\],12.58
data_reg\[27\]\[5\],12.56
_0344_,12.54
data_reg\[31\]\[5\],12.54
data_reg\[20\]\[2\],12.52
data_reg\[27\]\[0\],12.52
_0537_,12.48
data_reg\[14\]\[3\],12.47
data_reg\[13\]\[2\],12.3
data_reg\[10\]\[6\],12.245
data_reg\[11\]\[5\],12.2
state,12.2
net47,12.2
data_reg\[14\]\[1\],12.19
data_reg\[31\]\[6\],12.08
data_reg\[28\]\[3\],12.06
data_reg\[8\]\[2\],12.04
net163,12.04
_0821_,12.02
_0334_,12
data_reg\[5\]\[7\],12
data_reg\[7\]\[0\],12
_0027_,11.985
net89,11.98
data_out[0],11.94
data_reg\[20\]\[1\],11.92
data_reg\[30\]\[4\],11.9
data_reg\[24\]\[3\],11.88
_0633_,11.84
net177,11.82
data_reg\[25\]\[5\],11.78
data_reg\[5\]\[2\],11.66
net155,11.64
data_reg\[21\]\[3\],11.62
data_in[6],11.58
data_reg\[0\]\[1\],11.58
data_reg\[12\]\[1\],11.58
data_reg\[10\]\[2\],11.55
data_reg\[15\]\[6\],11.54
net17,11.54
data_reg\[8\]\[7\],11.5
_0581_,11.32
data_reg\[8\]\[5\],11.32
data_reg\[15\]\[4\],11.22
net254,11.22
data_reg\[15\]\[7\],11.215
_0584_,11.18
_0620_,11.12
data_in[1],11.12
net67,11.12
data_reg\[18\]\[7\],11.09
data_reg\[13\]\[7\],11.08
data_reg\[15\]\[1\],11
data_reg\[20\]\[6\],11
data_reg\[2\]\[1\],10.985
data_reg\[16\]\[4\],10.98
net110,10.96
_0154_,10.945
net217,10.92
data_reg\[27\]\[7\],10.89
_0545_,10.88
net104,10.88
_0322_,10.86
data_reg\[21\]\[5\],10.86
data_reg\[28\]\[2\],10.855
data_reg\[12\]\[5\],10.84
data_reg\[13\]\[5\],10.82
data_reg\[17\]\[7\],10.82
net165,10.82
_0069_,10.785
data_reg\[6\]\[1\],10.785
data_reg\[29\]\[5\],10.74
net86,10.7
RW,10.66
data_in[0],10.66
data_reg\[3\]\[6\],10.66
data_reg\[8\]\[0\],10.66
data_reg\[25\]\[0\],10.54
data_reg\[0\]\[3\],10.5
data_reg\[15\]\[2\],10.5
data_reg\[20\]\[7\],10.5
_0284_,10.46
data_reg\[26\]\[6\],10.43
data_reg\[20\]\[3\],10.42
data_reg\[28\]\[0\],10.38
data_reg\[28\]\[1\],10.38
data_reg\[1\]\[6\],10.36
data_reg\[29\]\[0\],10.36
_0551_,10.345
_0592_,10.34
_0090_,10.305
data_reg\[18\]\[3\],10.23
data_in[2],10.2
_0251_,10.145
data_reg\[31\]\[7\],10.08
data_reg\[26\]\[7\],10.065
data_reg\[15\]\[5\],10.06
_0200_,10.045
data_reg\[6\]\[5\],10.045
net64,10.04
_0261_,10.005
_0106_,9.965
data_reg\[23\]\[5\],9.94
data_reg\[27\]\[6\],9.94
data_reg\[19\]\[6\],9.92
_0048_,9.905
data_reg\[0\]\[6\],9.9
net68,9.9
_0410_,9.88
_0230_,9.865
data_reg\[26\]\[3\],9.835
data_reg\[14\]\[0\],9.825
_0433_,9.82
_0665_,9.82
net30,9.82
net135,9.82
_0453_,9.76
data_in[4],9.74
data_in[5],9.74
data_in[7],9.74
data_reg\[2\]\[5\],9.73
_0099_,9.665
data_out[5],9.64
_0544_,9.52
net60,9.5
data_reg\[30\]\[6\],9.48
_0528_,9.44
net173,9.44
_0517_,9.4
net58,9.4
data_reg\[22\]\[0\],9.39
_0093_,9.385
_0798_,9.38
_0338_,9.36
_0691_,9.36
data_reg\[7\]\[4\],9.34
_0159_,9.325
_0178_,9.245
data_reg\[8\]\[6\],9.24
_0638_,9.18
_0755_,9.18
data_out[1],9.18
data_reg\[2\]\[6\],9.15
_0147_,9.125
data_reg\[0\]\[2\],9.1
net79,9.08
_0645_,9.06
_0179_,9.02
_0796_,9.02
data_reg\[28\]\[6\],9.02
pulse_duration\[8\],9.02
_0083_,8.985
_0615_,8.98
pulse_duration\[10\],8.98
_0777_,8.92
_0788_,8.9
data_reg\[11\]\[3\],8.9
_0337_,8.86
_0752_,8.86
data_reg\[8\]\[1\],8.82
data_reg\[18\]\[0\],8.81
net224,8.8
data_reg\[0\]\[0\],8.78
data_reg\[25\]\[6\],8.78
data_reg\[20\]\[5\],8.74
data_reg\[26\]\[2\],8.705
_0599_,8.7
net109,8.7
net45,8.6
data_reg\[22\]\[7\],8.55
data_reg\[22\]\[4\],8.54
data_reg\[30\]\[3\],8.54
_0717_,8.52
_0874_,8.52
count\[3\],8.52
net69,8.48
data_reg\[3\]\[7\],8.46
_0383_,8.4
_0403_,8.4
_0824_,8.4
_0857_,8.4
data_reg\[29\]\[1\],8.4
data_reg\[10\]\[3\],8.38
_0188_,8.375
_0851_,8.36
data_reg\[18\]\[1\],8.35
_0486_,8.32
pulse_duration\[3\],8.32
_0227_,8.3
_0439_,8.3
net181,8.3
net310,8.28
data_reg\[13\]\[3\],8.24
data_reg\[2\]\[3\],8.22
_0266_,8.205
_0541_,8.2
_0779_,8.14
net112,8.14
data_reg\[22\]\[5\],8.13
_0651_,8.1
_0807_,8.1
_0104_,8.085
_0073_,8.065
_0773_,8.06
data_reg\[24\]\[2\],8.06
_0469_,8.04
_0156_,8.025
data_reg\[6\]\[4\],8.025
_0823_,8.02
_0024_,7.985
_0877_,7.98
net70,7.96
_0441_,7.94
_0229_,7.92
_0376_,7.9
data_reg\[10\]\[0\],7.89
net193,7.88
_0753_,7.86
data_reg\[23\]\[7\],7.86
data_reg\[24\]\[6\],7.86
net296,7.86
_0105_,7.815
_0167_,7.805
data_reg\[3\]\[5\],7.78
data_reg\[26\]\[5\],7.68
net32,7.68
data_reg\[18\]\[5\],7.67
data_reg\[26\]\[0\],7.67
data_reg\[7\]\[5\],7.66
_0375_,7.64
_0636_,7.64
_0749_,7.64
_0765_,7.64
data_reg\[30\]\[5\],7.64
data_reg\[6\]\[3\],7.63
_0206_,7.605
_0369_,7.58
_0739_,7.58
data_reg\[16\]\[3\],7.56
data_reg\[23\]\[2\],7.55
_0602_,7.54
_0764_,7.52
_0878_,7.52
net120,7.52
_0585_,7.48
net62,7.44
net122,7.42
net225,7.42
data_reg\[10\]\[1\],7.41
_0580_,7.4
net38,7.4
_0233_,7.385
net312,7.36
_0472_,7.34
_0359_,7.32
net226,7.32
_0145_,7.285
data_reg\[10\]\[7\],7.285
data_reg\[11\]\[1\],7.28
data_reg\[21\]\[6\],7.28
data_reg\[31\]\[3\],7.28
_0098_,7.265
temperature_output\[2\],7.22
net236,7.22
count\[8\],7.195
_0318_,7.18
_0390_,7.18
_0413_,7.18
_0419_,7.18
_0747_,7.18
_0817_,7.18
net71,7.18
net75,7.18
_0201_,7.145
_0759_,7.12
_0022_,7.105
_0055_,7.105
_0675_,7.1
_0705_,7.1
_0767_,7.1
data_reg\[10\]\[5\],7.09
_0067_,7.075
data_reg\[1\]\[4\],7.06
net259,7
_0848_,6.98
net136,6.98
data_reg\[0\]\[5\],6.94
_0786_,6.935
_0058_,6.885
_0100_,6.88
_0164_,6.88
data_reg\[17\]\[3\],6.86
data_reg\[4\]\[3\],6.86
net255,6.86
data_reg\[26\]\[1\],6.845
_0271_,6.825
_0401_,6.76
_0426_,6.76
_0536_,6.76
_0735_,6.76
temperature_output\[10\],6.76
net116,6.76
_0616_,6.72
data_reg\[11\]\[0\],6.72
pulse_duration\[0\],6.72
temperature_output\[12\],6.72
temperature_output\[5\],6.72
_0097_,6.705
pulse_duration\[4\],6.7
_0235_,6.685
_0241_,6.685
_0763_,6.66
_0317_,6.64
_0348_,6.64
_0547_,6.64
_0667_,6.64
net153,6.64
net272,6.64
_0391_,6.6
_0795_,6.6
_0868_,6.6
net39,6.6
net187,6.54
net269,6.54
net301,6.54
_0269_,6.525
_0231_,6.5
net183,6.5
data_reg\[6\]\[2\],6.495
_0037_,6.485
net41,6.465
net189,6.44
reset_n,6.43
_0045_,6.425
_0260_,6.425
_0194_,6.395
_0281_,6.365
net63,6.36
net146,6.36
_0699_,6.32
_0680_,6.3
_0681_,6.3
_0684_,6.3
_0702_,6.3
_0784_,6.3
_0827_,6.3
_0843_,6.3
net16,6.3
net170,6.3
net230,6.3
net245,6.3
net287,6.3
data_reg\[3\]\[3\],6.28
_0339_,6.26
_0365_,6.26
_0366_,6.26
_0428_,6.26
_0656_,6.26
_0659_,6.26
_0662_,6.26
_0748_,6.26
_0762_,6.26
_0770_,6.26
_0863_,6.26
_0882_,6.26
data_reg\[21\]\[4\],6.26
net164,6.26
_0075_,6.225
_0414_,6.2
_0432_,6.2
_0800_,6.2
_0386_,6.18
_0387_,6.18
_0396_,6.18
_0424_,6.18
_0447_,6.18
_0682_,6.18
_0852_,6.18
data_reg\[30\]\[1\],6.18
data_reg\[26\]\[4\],6.155
_0320_,6.14
_0327_,6.14
_0349_,6.14
_0471_,6.14
_0694_,6.14
_0743_,6.14
_0802_,6.14
_0829_,6.14
_0845_,6.14
_0860_,6.14
_0444_,6.12
net29,6.08
net156,6.08
_0051_,6.065
_0833_,6.06
net49,6.06
net152,6.04
_0280_,6.025
net260,6.02
_0041_,6.005
signal_in,5.97
_0047_,5.965
net46,5.96
_0042_,5.895
_0242_,5.865
net40,5.86
_0249_,5.845
_0658_,5.84
_0808_,5.84
_0813_,5.84
net97,5.84
net220,5.84
net315,5.84
_0412_,5.8
_0676_,5.8
_0731_,5.8
_0870_,5.8
net90,5.8
net94,5.8
net130,5.8
net132,5.8
net175,5.8
net204,5.8
_0118_,5.775
_0295_,5.765
_0312_,5.74
_0399_,5.74
_0409_,5.74
_0417_,5.74
_0192_,5.725
data_reg\[10\]\[4\],5.725
_0329_,5.72
_0374_,5.72
_0698_,5.72
_0841_,5.72
_0850_,5.72
net33,5.72
net228,5.72
_0363_,5.68
_0377_,5.68
_0440_,5.68
_0487_,5.68
_0663_,5.68
_0688_,5.68
_0729_,5.68
_0733_,5.68
_0835_,5.68
_0854_,5.68
net188,5.68
net207,5.68
_0282_,5.64
_0143_,5.62
net81,5.62
data_reg\[2\]\[2\],5.58
net267,5.58
net270,5.58
net276,5.58
net305,5.58
data_reg\[7\]\[6\],5.56
net98,5.56
_0310_,5.525
_0567_,5.52
_0253_,5.505
net191,5.46
_0226_,5.435
_0299_,5.4
net84,5.4
_0319_,5.38
_0351_,5.38
_0388_,5.38
_0421_,5.38
_0887_,5.38
pulse_duration\[1\],5.38
net52,5.38
_0601_,5.36
_0761_,5.36
_0278_,5.34
_0335_,5.34
_0454_,5.34
_0463_,5.34
_0797_,5.34
_0818_,5.34
_0844_,5.34
net119,5.34
net157,5.34
net172,5.34
net211,5.34
net295,5.34
_0252_,5.315
_0258_,5.305
_0172_,5.265
_0212_,5.26
_0341_,5.26
_0500_,5.26
_0803_,5.26
_0853_,5.26
net115,5.26
net131,5.26
net213,5.26
_0372_,5.22
_0673_,5.22
_0685_,5.22
_0687_,5.22
_0782_,5.22
_0809_,5.22
_0826_,5.22
_0839_,5.22
_0876_,5.22
_0049_,5.16
net261,5.16
data_reg\[0\]\[4\],5.14
data_reg\[29\]\[2\],5.14
net129,5.12
net148,5.12
data_reg\[21\]\[1\],5.1
net77,5.1
_0061_,5.095
_0197_,5.095
net65,5.06
net285,5.06
_0125_,5.045
_0120_,5.005
_0134_,4.945
_0384_,4.92
_0476_,4.92
_0695_,4.92
_0758_,4.92
data_reg\[17\]\[0\],4.92
net251,4.92
net252,4.92
_0468_,4.9
_0018_,4.885
_0340_,4.88
_0360_,4.88
_0397_,4.88
_0452_,4.88
_0485_,4.88
_0683_,4.88
_0686_,4.88
_0804_,4.88
_0862_,4.88
temperature_output\[8\],4.88
net206,4.88
net294,4.88
_0133_,4.845
_0152_,4.845
_0196_,4.845
_0289_,4.845
data_reg\[31\]\[2\],4.84
_0431_,4.8
_0701_,4.8
_0881_,4.8
net31,4.8
_0568_,4.76
_0674_,4.76
_0819_,4.76
_0859_,4.76
_0872_,4.76
_0224_,4.755
_0288_,4.725
_0001_,4.7
_0155_,4.7
_0236_,4.7
_0306_,4.7
net184,4.7
net293,4.7
data_reg\[28\]\[4\],4.68
_0771_,4.66
net117,4.66
net238,4.66
net282,4.66
_0102_,4.625
_0181_,4.625
_0184_,4.625
_0287_,4.625
net166,4.6
_0180_,4.585
_0219_,4.58
net50,4.58
_0693_,4.48
net138,4.48
_0357_,4.46
_0402_,4.46
_0411_,4.46
_0489_,4.46
_0558_,4.46
_0565_,4.46
_0595_,4.46
_0793_,4.46
temperature_output\[1\],4.46
temperature_output\[4\],4.46
net61,4.46
net219,4.46
net279,4.46
net307,4.46
net313,4.46
_0220_,4.425
_0234_,4.425
_0356_,4.42
_0378_,4.42
_0450_,4.42
_0483_,4.42
_0741_,4.42
net124,4.42
net202,4.42
net298,4.42
_0213_,4.385
_0250_,4.385
_0293_,4.385
_0760_,4.36
_0321_,4.34
_0330_,4.34
_0445_,4.34
_0657_,4.34
_0769_,4.34
_0776_,4.34
_0794_,4.34
_0847_,4.34
net82,4.34
net222,4.34
net244,4.34
_0050_,4.32
_0364_,4.32
_0254_,4.295
_0015_,4.265
_0216_,4.24
net257,4.24
net314,4.24
net24,4.22
_0080_,4.215
net234,4.2
_0238_,4.145
net140,4.14
net237,4.14
_0066_,4.12
_0533_,4.12
net201,4.1
net278,4.1
_0162_,4.065
_0291_,4.045
_0672_,4.02
_0393_,4
_0404_,4
_0473_,4
_0591_,4
_0720_,4
data_reg\[22\]\[3\],4
net111,4
net283,4
data_reg\[7\]\[2\],3.995
_0039_,3.925
_0109_,3.925
_0089_,3.9
_0434_,3.9
_0385_,3.88
_0458_,3.88
_0480_,3.88
_0652_,3.88
_0768_,3.88
net34,3.88
net66,3.88
_0007_,3.805
_0044_,3.78
_0148_,3.78
_0598_,3.78
net134,3.78
net258,3.78
net288,3.78
net303,3.78
net190,3.74
net280,3.74
net284,3.74
_0003_,3.705
_0008_,3.705
_0033_,3.705
_0191_,3.705
net56,3.68
net208,3.68
net281,3.68
net306,3.68
data_reg\[2\]\[7\],3.665
_0479_,3.66
net74,3.66
net105,3.66
_0052_,3.585
_0358_,3.54
_0478_,3.54
_0519_,3.54
_0856_,3.54
data_reg\[1\]\[0\],3.54
net18,3.54
net178,3.54
net266,3.54
temperature_output\[11\],3.52
_0129_,3.505
_0128_,3.465
_0257_,3.465
_0259_,3.465
_0286_,3.465
_0304_,3.465
_0169_,3.44
_0331_,3.44
_0382_,3.44
_0582_,3.44
_0621_,3.44
_0814_,3.44
_0455_,3.42
_0650_,3.42
_0655_,3.42
_0009_,3.345
_0029_,3.345
_0034_,3.345
data_reg\[17\]\[2\],3.3
_0005_,3.245
_0020_,3.245
_0031_,3.245
_0146_,3.245
_0279_,3.245
_0290_,3.245
_0594_,3.22
net127,3.22
net147,3.22
net159,3.22
net194,3.22
net235,3.22
net249,3.22
net291,3.22
net309,3.22
_0466_,3.18
_0004_,3.175
_0006_,3.175
_0107_,3.175
_0300_,3.175
_0131_,3.125
_0186_,3.125
_0232_,3.125
_0475_,3.1
_0604_,3.1
_0725_,3.1
net28,3.1
net43,3.1
net192,3.1
_0343_,3.08
_0395_,3.08
_0462_,3.08
_0678_,3.08
_0772_,3.08
temperature_output\[7\],3.08
net87,3.08
net154,3.08
net199,3.08
net264,3.08
_0021_,3.045
_0056_,3.045
_0301_,3.045
_0071_,3.005
_0078_,3.005
_0084_,3.005
_0144_,3.005
_0210_,3.005
_0276_,3.005
_0316_,2.98
_0816_,2.98
_0830_,2.98
_0861_,2.98
_0326_,2.96
_0361_,2.96
_0408_,2.96
_0415_,2.96
_0427_,2.96
_0443_,2.96
_0446_,2.96
_0448_,2.96
_0605_,2.96
_0660_,2.96
_0849_,2.96
_0151_,2.945
_0087_,2.885
_0309_,2.885
_0000_,2.88
_0025_,2.88
_0111_,2.88
_0187_,2.88
_0262_,2.88
_0263_,2.88
_0096_,2.86
_0174_,2.86
_0296_,2.86
net91,2.86
net133,2.86
net176,2.86
net216,2.86
net239,2.86
net243,2.86
_0002_,2.835
_0010_,2.835
_0063_,2.835
_0095_,2.835
_0305_,2.835
_0012_,2.785
_0019_,2.785
_0026_,2.785
_0108_,2.785
_0114_,2.785
_0211_,2.785
_0228_,2.785
_0270_,2.785
_0285_,2.785
_0273_,2.765
_0136_,2.76
net106,2.76
net113,2.76
net128,2.76
net137,2.76
net142,2.76
net151,2.76
net167,2.76
net168,2.76
net209,2.76
net227,2.76
net241,2.76
net242,2.76
net265,2.76
net290,2.76
net304,2.76
net263,2.74
net311,2.74
_0135_,2.715
_0137_,2.715
_0158_,2.715
_0308_,2.715
_0081_,2.705
_0160_,2.705
_0082_,2.665
net54,2.665
net26,2.64
_0332_,2.62
_0367_,2.62
_0368_,2.62
_0420_,2.62
_0425_,2.62
_0438_,2.62
_0464_,2.62
_0588_,2.62
_0805_,2.62
_0866_,2.62
temperature_output\[13\],2.62
net44,2.62
net185,2.62
net203,2.62
_0173_,2.595
_0126_,2.585
_0294_,2.585
_0017_,2.545
_0030_,2.545
_0036_,2.545
_0070_,2.545
_0103_,2.545
_0110_,2.545
_0237_,2.545
_0272_,2.545
_0307_,2.545
_0092_,2.52
_0199_,2.52
_0422_,2.52
_0436_,2.52
_0815_,2.52
temperature_output\[6\],2.52
_0354_,2.5
_0406_,2.5
_0449_,2.5
_0538_,2.5
_0563_,2.5
_0574_,2.5
_0630_,2.5
_0677_,2.5
_0783_,2.5
_0885_,2.5
_0054_,2.485
_0072_,2.485
_0074_,2.485
_0116_,2.485
_0140_,2.485
_0141_,2.485
_0189_,2.485
_0239_,2.485
_0274_,2.485
_0011_,2.42
_0023_,2.42
_0057_,2.42
_0077_,2.42
_0079_,2.42
_0121_,2.42
_0122_,2.42
_0177_,2.42
_0183_,2.42
_0190_,2.42
_0198_,2.42
_0215_,2.42
_0217_,2.42
_0218_,2.42
_0243_,2.42
_0245_,2.42
_0246_,2.42
_0589_,2.4
net76,2.4
net96,2.4
net103,2.4
net121,2.4
