net,length_um
net13,324.56
data_reg\[21\]\[7\],324.34
_01717_,324.33
_17596_,323.28
_08552_,322.61
_10328_,322.49
_17738_,322.42
_01408_,322.23
_10652_,322.22
_08550_,322.1
_04037_,321.89
_10732_,321.2
_11001_,320.73
_11020_,320.15
_15962_,319.9
_09536_,319.705
_06366_,319.24
_02711_,318.72
data_reg\[21\]\[6\],317.95
_10957_,317.92
_03806_,317.83
_11707_,317.67
_10736_,317.52
_02046_,316.82
_10642_,316.74
_09702_,316.58
_01507_,316.57
_11582_,316.515
net11,316.48
clknet_3_3_0_clk,316.27
_02689_,315.38
_08547_,314.625
_10943_,314.09
_11009_,314.04
_07194_,313.52
_12194_,313.36
_11603_,313.08
_10432_,312.97
_03817_,312.24
_11814_,312.12
_01485_,312.08
_04759_,312.08
_17249_,312.075
_11637_,311.6
_01881_,311.48
_10449_,310.85
net25,310.735
_10999_,310.59
net42,310.26
_09942_,310.09
_10482_,309.96
_00601_,309.455
_11157_,308.495
_01529_,308.325
_08476_,307.89
_11708_,307.23
_10446_,307.225
_11639_,306.88
_10670_,306.3
_01584_,305.6
_10767_,304.6
_08562_,304.03
_04599_,303.85
_17251_,303.71
_11075_,303.64
_10814_,303.11
_11070_,303.08
net10,303.01
_11595_,302.98
_11770_,302.92
_03872_,302.45
_17566_,302.07
_00021_,301.235
_08477_,300.93
_08140_,299.99
_02952_,299.51
pulse_duration\[10\],299.09
_04816_,298.45
_10205_,297.95
_14997_,297.615
_11055_,297.61
_01776_,297.24
_04824_,297.18
_11590_,297.18
_08471_,297.12
_01562_,297.045
data_reg\[21\]\[1\],296.86
_09950_,296.27
_10433_,296.18
data_reg\[21\]\[3\],296.16
data_reg\[21\]\[5\],296.08
_09764_,295.95
_04823_,295.52
_17453_,295.47
_01018_,295.27
_10722_,295.12
_10524_,294.915
_05465_,294.64
_11757_,294.61
_04887_,294.3
_01407_,293.38
_05464_,293.1
_09767_,292.07
_01254_,291.345
_02002_,291.08
_05330_,290.99
_17325_,290.98
_02134_,290.65
_04607_,290.16
_11007_,289.78
_08473_,289.66
_02024_,288.48
_10669_,287.995
_10636_,287.66
_02784_,286.48
_10925_,285.755
_10166_,285.68
_04743_,285.12
net12,284.735
data_reg\[15\]\[5\],284.11
_15665_,283.8
_17170_,283.78
_08460_,283.4
clknet_3_5_0_clk,283.16
_10941_,282.96
_04869_,282.88
_10167_,282.86
_09742_,282.55
_03653_,282.22
_03253_,282.19
_01718_,281.94
_18247_,281.08
_17172_,280.86
_00753_,280.27
_11599_,279.44
_04868_,279.19
_11187_,278.83
